sense_id;sequence
2295; 1K    -   1C   1P   2T  
2325; 1K    -   1C   1P   2K  
2303; 1K    -   1C   1P   3T  
2338; 1K    -   1C   1P   3K  
2070; 1K    -   1C   1P   4T  
2326; 1K    -   1C   2T   2K  
2339; 1K    -   1C   2T   3K  
1051; 1K    -   1C   2K  
1069; 1K    -   1C   2SA 
2302; 1K    -   1C   2m   2P  
2918; 1K    -   1C    o   2T    -   2P  
3427; 1K    -   1C    o   2T    -   2P    -   3T  
3391; 1K    -   1C    o   2T    -   2P    -   3K  
3489; 1K    -   1C    o   2T    -   2P    -   3K  
3371; 1K    -   1C    o   2T    -   2P    -   3C  
3354; 1K    -   1C    o   2T    -   2P    -   4C  
2777; 1K    -   1P    -   2T    -   3C  
2199; 1K    -   1P    -   2K  
2186; 1K    -   1P    -   2C  
2208; 1K    -   1P    -   3K  
1053; 1K    -   1P   2K  
1071; 1K    -   1P   2SA 
2164; 1K    -   1SA   -   2T  
2188; 1K    -   1SA   -   2C  
2189; 1K    -   1SA   -   2P  
2128; 1K    -   1SA   -   2SA 
2329; 1K    -   1SA  2T   2K  
1083; 1K    -   1SA  2SA 
2163; 1K    -   1M    -   2T  
2068; 1K    -   1M    X   4T  
2422; 1K    -   1M   2T    X  
2909; 1K    -   1M    o   2T    -   2SA 
2916; 1K    -   1M    o   2T    -   3SA 
 225; 1K    -   2T  
2202; 1K    -   2T    -   2K  
2781; 1K    -   2T    -   2C    -   3P  
2131; 1K    -   2T    -   2SA 
2187; 1K    -   2T    -   2M  
2211; 1K    -   2T    -   3K  
2132; 1K    -   2T    -   3SA 
1055; 1K    -   2T   2K  
2427; 1K    -   2T   2C    X  
2429; 1K    -   2T   2C    X  
2428; 1K    -   2T   2P    X  
2430; 1K    -   2T   2P    X  
1073; 1K    -   2T   2SA 
 236; 1K    -   2K  
2190; 1K    -   2SA   -   3T  
 228; 1K    -   3T  
 237; 1K    -   3K  
 276; 1K    X   2T  
2371; 1K   1C    X   1P   2K  
2356; 1K   1C    X   2m   2P  
2242; 1K   1C   1P    -   2T  
2265; 1K   1C   1P    -   2K  
2275; 1K   1C   1P    -   3K  
2072; 1K   1C   1P    -   4T   4T  
2077; 1K   1C   1P   2C   4T  
2254; 1K   1C   1SA   -   2P  
 377; 1K   1P    X    -   2T  
 379; 1K   1P    X    -   3T  
2365; 1K   1P    X   2T   2C  
2253; 1K   1P   1SA   -   2C  
 389; 1K   1SA  2K  
2372; 1K   1M    X   2T   2K  
2357; 1K   1M    X   2M   3T  
2381; 1K   1M    X   2M   3K  
2243; 1K   1M   1SA   -   2T  
2267; 1K   1M   1SA   -   2K  
2277; 1K   1M   1SA   -   3K  
2269; 1K   1M   2T    -   2K  
2240; 1K   1M   2T    -   2SA 
2289; 1K   1M   2T    -   2M  
2279; 1K   1M   2T    -   3K  
2255; 1K   1M   2SA   -   3T  
 346; 1K   1E   2K  
 347; 1K   1E   3K  
 358; 1K   2T    X  
 368; 1K   2T    X    -   2K  
 359; 1K   2T    X    -   2C  
 360; 1K   2T    X    -   2P  
 366; 1K   2T    X    -   2SA 
 365; 1K   2T    X    -   3T  
 369; 1K   2T    X    -   3T  
 361; 1K   2T    X    -   3C  
 362; 1K   2T    X    -   3P  
 367; 1K   2T    X    -   3SA 
 364; 1K   2T    X    -   4T  
2382; 1K   2T    X   2M   3K  
2383; 1K   2T    X   3T   3K  
 363; 1K   2T    X    o   4C  
 356; 1K   2T   2K  
 354; 1K   2T   2SA 
 352; 1K   2T   2M  
2291; 1K   2T   2M    -   3T  
 357; 1K   2T   3K  
 355; 1K   2T   3SA 
 353; 1K   2T   3E  
 441; 1K   2K    X  
 427; 1K   2K   2C  
 431; 1K   2K   2P  
2256; 1K   2K   2SA   -   3T  
 404; 1K   2K   3T  
1015; 1K   2SA 
 412; 1K   2SA  2SA 
 429; 1K   2SA  3T  
 433; 1K   2SA  3C  
 420; 1K   2SA  3SA 
2257; 1K   2M   2SA   -   3T  
2171; 1K    o   1C    -   2P  
3077; 1K    o   1C    -   2P    -   3T  
3412; 1K    o   1C    -   2P    -   3T    -   3K  
3510; 1K    o   1C    -   2P    -   3T    -   3K  
3380; 1K    o   1C    -   2P    -   3T    -   3C  
3448; 1K    o   1C    -   2P    -   3T    -   3P  
3363; 1K    o   1C    -   2P    -   3T    -   4C  
3078; 1K    o   1C    -   3T    -   3P  
3449; 1K    o   1C    -   3T    -   3P    -   4T  
3413; 1K    o   1C    -   3T    -   3P    -   4K  
3511; 1K    o   1C    -   3T    -   3P    -   4K  
3381; 1K    o   1C    -   3T    -   3P    -   4C  
3364; 1K    o   1C    -   3T    -   3P    -   5C  
3149; 1K    o   1C    o   2K    o   3T  
3166; 1K    o   1C    o   2K    o   4T  
3131; 1K    o   1C    o   2m    o   3SA 
3190; 1K    o   1C    o   3K    o   3C  
3185; 1K    o   1C    o   3K    o   3SA 
3181; 1K    o   1C    o   3K    o   4K  
2740; 1K    o   1P    -   1SA   -   4C  
3079; 1K    o   1P    -   3T    -   3C  
3382; 1K    o   1P    -   3T    -   3C    -   3P  
3450; 1K    o   1P    -   3T    -   3C    -   4T  
3414; 1K    o   1P    -   3T    -   3C    -   4K  
3512; 1K    o   1P    -   3T    -   3C    -   4K  
3365; 1K    o   1P    -   3T    -   3C    -   4P  
2327; 1K    o   1P   2T   2K  
2314; 1K    o   1P   2T   2C  
2340; 1K    o   1P   2m   3K  
2919; 1K    o   1P    o   2T    -   2C  
3372; 1K    o   1P    o   2T    -   2C    -   2P  
3428; 1K    o   1P    o   2T    -   2C    -   3T  
3392; 1K    o   1P    o   2T    -   2C    -   3K  
3490; 1K    o   1P    o   2T    -   2C    -   3K  
3355; 1K    o   1P    o   2T    -   2C    -   3P  
3147; 1K    o   1P    o   2K    o   2C  
3553; 1K    o   1P    o   2K    o   2C    -   2P  
3558; 1K    o   1P    o   2K    o   2C    -   2SA 
3567; 1K    o   1P    o   2K    o   2C    -   3T  
3564; 1K    o   1P    o   2K    o   2C    -   3K  
