deal_id;type;content
*       38;BIDS;  passe     passe     passe   
*       38;RULE;                              
*       39;DEAL;KT754-T72-Q96-86, QJ963-QJ-3-AKT32, A8-A8654-A75-QJ7, 2-K93-KJT842-954
*       39;DIRS;  North      East     South      West
*       39;BIDS;  passe       1P       1SA      passe   
*       39;RULE;              16        10              
*       39;BIDS;    2C      passe     passe     passe   
*       39;RULE;   288                                  
*       40;DEAL;AT96-AJT54-AT52, QJ743-K876-A942, 82-KQ873-QT8765, K5-962-QJ943-KJ3
*       40;DIRS;  North      East     South      West
*       40;BIDS;    1C        1P        2C      passe   
*       40;RULE;    16       190       109              
*       40;BIDS;  passe     passe   
*       40;RULE;                    
*       41;DEAL;KQ32-K-K-AKQ8762, 84-A974-T43-J953, 976-QT8632-QJ7-4, AJT5-J5-A98652-T
*       41;DIRS;  North      East     South      West
*       41;BIDS;    1T      passe       1C        2K    
*       41;RULE;    17                  62       202    
*       41;BIDS;  passe     passe     passe   
*       41;RULE;                              
*       42;DEAL;KQJ72-54-J2-KJT2, A93-KT763-A9843, T64-AK9873-Q98-6, 85-QJT62-A54-Q75
*       42;DIRS;  North      East     South      West
*       42;BIDS;  passe     passe       1C        1C    
*       42;RULE;                        19        19    
*       42;BIDS;    1P      passe      2SA      passe   
*       42;RULE;    19                  37              
*       42;BIDS;    3P      passe     passe     passe   
*       42;RULE;   409                                  
*       43;DEAL;A93-QJ2-Q84-KT63, KQ2-A-K965-87542, T854-T97-AT732-J, J76-K86543-J-AQ9
*       43;DIRS;  North      East     South      West
*       43;BIDS;    1T      passe       1P        2C    
*       43;RULE;    17                  57       202    
*       43;BIDS;  passe     passe     passe   
*       43;RULE;                              
*       44;DEAL;AQ5432-AQ3-AT3-J, 986-JT97-K7-AKT9, KJ7-K-J654-Q8543, T-86542-Q982-762
*       44;DIRS;  North      East     South      West
*       44;BIDS;    1P      passe      2SA      passe   
*       44;RULE;    16                  37              
*       44;BIDS;  passe     passe   
*       44;RULE;                    
*       45;DEAL;T8432-A-T742-AJ9, AKQ97-J852-3-QT3, 5-QT9643-J86-K65, J6-K7-AKQ95-8742
*       45;DIRS;  North      East     South      West
*       45;BIDS;  passe       1P      passe       1K    
*       45;RULE;              16                  17    
*       45;BIDS;  passe     passe     passe   
*       45;RULE;                              
*       46;DEAL;J32-QT87-T873-J6, AK976-652-AK94-T, 85-AK4-J65-Q8743, QT4-J93-Q2-AK952
*       46;DIRS;  North      East     South      West
*       46;BIDS;  passe       1P      passe       1T    
*       46;RULE;              16                  17    
*       46;BIDS;  passe     passe     passe   
*       46;RULE;                              
